Date,Open,High,Low,Close,Volume
16-Sep-11,109.07,109.66,105.91,107.49,7999695
15-Sep-11,105.17,108.19,105.10,107.97,6355270
14-Sep-11,104.91,105.88,103.53,104.54,6603330
13-Sep-11,103.41,105.18,101.50,104.09,7119554
12-Sep-11,100.79,103.00,99.77,102.92,8772841
9-Sep-11,104.38,105.82,102.22,102.25,8615134
8-Sep-11,107.13,108.00,104.74,104.79,6513661
7-Sep-11,106.00,108.79,105.00,108.34,6531641
6-Sep-11,103.67,105.60,103.43,104.56,7752372
2-Sep-11,107.06,107.06,107.06,107.06,0
1-Sep-11,115.55,115.55,111.60,112.16,9857255
31-Aug-11,115.40,117.80,114.67,116.22,6488013
30-Aug-11,115.33,116.00,113.25,115.18,5301148
29-Aug-11,113.65,116.54,112.33,116.07,5185049
26-Aug-11,108.63,112.58,107.72,111.75,7355623
25-Aug-11,114.51,118.10,108.11,109.84,11945913
24-Aug-11,106.90,110.74,106.39,110.31,10175164
23-Aug-11,106.02,108.80,103.16,106.86,24487155
22-Aug-11,114.17,114.49,105.10,106.51,11286561
19-Aug-11,111.87,115.30,111.11,111.76,6829229
18-Aug-11,112.15,114.50,112.04,113.14,9288922
17-Aug-11,117.36,118.75,116.55,117.25,4829031
16-Aug-11,117.20,119.78,115.50,116.87,7413468
15-Aug-11,117.57,119.70,116.00,119.13,7257502
12-Aug-11,119.80,120.88,115.29,116.47,9608060
11-Aug-11,112.96,119.75,112.25,118.10,11847517
10-Aug-11,119.58,119.67,110.04,110.34,18592204
9-Aug-11,120.51,123.15,111.60,122.73,15914479
8-Aug-11,122.08,125.44,112.11,117.66,17381629
5-Aug-11,127.75,129.23,122.35,125.18,11171258
4-Aug-11,130.84,131.89,126.21,126.23,8197178
3-Aug-11,131.35,133.27,130.71,132.08,6499388
2-Aug-11,132.08,134.76,131.18,131.23,7594489
1-Aug-11,136.92,137.34,133.75,134.15,5886638
29-Jul-11,134.10,136.60,133.13,134.97,5346350
28-Jul-11,134.97,138.13,134.65,135.84,4430105
27-Jul-11,136.79,137.25,134.44,134.72,5250559
26-Jul-11,136.61,139.25,136.02,137.60,5465238
25-Jul-11,134.17,137.13,133.50,136.85,5856972
22-Jul-11,135.03,136.47,134.44,135.49,4928279
21-Jul-11,133.52,135.98,133.25,135.58,7672420
20-Jul-11,128.00,133.80,127.58,132.75,8578755
19-Jul-11,125.73,129.93,125.50,128.49,15301315
18-Jul-11,129.58,130.16,127.50,129.33,5839559
15-Jul-11,131.31,131.51,129.18,130.16,5260131
14-Jul-11,131.70,132.20,129.75,129.89,5357862
13-Jul-11,130.74,131.77,129.70,129.92,4413958
12-Jul-11,131.42,132.66,130.10,130.31,4333362
11-Jul-11,132.75,133.43,131.07,132.02,4724427
8-Jul-11,133.32,134.40,133.17,134.08,4141864
7-Jul-11,135.09,136.20,134.72,135.01,3859210
6-Jul-11,133.78,134.44,132.82,133.89,3029560
5-Jul-11,135.90,136.05,133.00,134.50,4457197
1-Jul-11,136.65,136.65,136.65,136.65,0
30-Jun-11,133.05,133.80,131.50,133.09,4992942
29-Jun-11,129.73,133.23,129.50,132.53,8170790
28-Jun-11,131.34,131.34,128.30,129.26,8059751
27-Jun-11,130.75,131.86,129.80,130.71,5832605
24-Jun-11,132.81,133.45,130.82,130.91,5775678
23-Jun-11,133.10,133.83,131.64,132.36,6707794
22-Jun-11,135.59,137.78,134.43,134.52,4228140
